"nid","node_revisions_body","node_revisions_format","node_created","node_title","node_data_field_meeting_location_field_meeting_location_value","node_type","node_vid","node_data_field_meeting_location_field_meeting_date_value","node_data_field_meeting_location_field_meeting_time_value","node_data_field_meeting_location_field_reception_time_value"
"44","<p>From a young age, Eleanor drew animals. She drew them at home, she drew them in school, she drew them on vacation, in the car, when she was sick, whenever she could. She rarely drew people; there was just something special about animals that held her interest and continues to do so.</p>
<p>Eleanor rarely drew backgrounds either. She kept it simple with line work on a blank field. Sometimes she would color them in, but mostly it was the shape of the line that was the reward. She started simplifying that line and bringing more geometry into her work when she was exposed to Skateboard artwork on Alien Workshop and Habitat decks.</p>
<p>Once she started illustrating and eventually worked with Alien Workshop (a dream come true!!), she found out about <a href=\"http://www.charleyharper.com/\">Charley Harper</a>, a kindred spirit in the pursuit of simplifying animal artwork. Eleanor feels that Charley is the mentor she never knew she had! He's a hero.</p>
<p>Other design heros include Dirk Fowler, Tord Boontje, Marimekko, Lucienne Day, Ryan McGinness, Methane Studios, Jeff Kleinsmith, Sanna Annukka and so many others.</p>
<p>Check out more of Eleanor's illustrations at:</p>
<p><a href=\"http://www.pushmepullyoudesign.com\">www.pushmepullyoudesign.com</a><br />
<a href=\"http://www.agencyrush.com/Artists/Eleanor_Grosch/\">www.agencyrush.com/Artists/Eleanor_Grosch/</a><br />
<a href=\"http://www.gigposters.com/designerposters/21419/1_Eleanor_Grosch.html\">www.gigposters.com/designerposters/21419/1_Eleanor_Grosch.html</a></p>","2","1225853390","November Meeting: Illustrator Eleanor Grosch","Cityplace","meeting","44","2008-11-04T00:00:00","7pm","6pm"
"52","<p>Art Chantry&rsquo;s work has been collected and exhibited by some of the most prestigious museums and galleries in the world: the Louvre, The Smithsonian, The Library of Congress and the Rock and Roll Hall of Fame, just to name a few. The Seattle Art Museum and the Museum of Modern Art&rsquo;s P.S.1 have both honored him with one-man retrospectives. In 2001, Chronicle Books published the monograph of his work, Some People Can&rsquo;t Surf. Art has influenced an entire generation of young graphic designers in the northwest and across the county. To this day, his hard-edge scrappy look can be seen everywhere from punk rock record covers to corporate annual reports.</p>
<p><a href=\"http://www.artchantry.com/\">http://www.artchantry.com/</a></p>
<p>&nbsp;</p>","2","1225905789","September Meeting: DSVC Welcomes Art Chantry","Cityplace","meeting","52","2008-09-10T00:00:00","7pm","6pm"
"90","<p>Lawrence Azerrad is an independent graphic designer and art director based in Los Angeles. Azerrad&rsquo;s studio LAD, has produced work in film, print, and digital media since 2001. Formerly an art director at Warner Bros Records, Azerrad created packaging and imaging for artists such as Elvis Costello, Miles Davis, Clint Eastwood, The Red Hot Chili Peppers, and Brad Mehldau. As an independent designer, LAD clients include UCLA Live, Renaissance Hollywood Hotel, Wilco, Spa Luce, surf legend Laird Hamilton, The Foo Fighters, Paul McCartney, and Heal the Bay. Azerrad is an instructor of graphic design at Art Center College of Design, has taught at the The Academy of Art University, Graduate School of Graphic Design in San Francisco, and is on the Graphic Design Thesis review committee at California College of the Arts.</p>
<p><a href=\"http://www.laddesign.net/\">www.laddesign.net</a></p>","2","1225925354","October Meeting: Designer and Art Director Lawrence Azerrad","Cityplace","meeting","90","2008-10-01T00:00:00","7pm","6pm"
"252","<p>DEC 3 &mdash; For the second year in a row, Chris Hill has put together an amazing event for our December meeting. As a way to say &ldquo;thanks&rdquo; to the DSVC for the help it gave him as he started his career, Chris, a former Dick Sloan Scholarship recipient, is bringing in three great talents for a mini-Creative Summit; Brian Singer &ndash; San Francisco designer &amp; creator of the wonderful 1000 Journals Project, Michael O&rsquo;Brian, an amazing photographer and Jack Unruh, illustrator extraordinaire.</p>
<p><strong>Check out their work here:</strong><br />
Brian Singer - www.1000journals.com / www.altitudesf.com<br />
Michael O&rsquo;Brien www.obrienphotography.com<br />
Jack Unruh - www.jackunruh.com<br />
Chris Hill - www.hillgroupdesign.com / www.creativesummit.com</p>
<p>&nbsp;</p>
<p><strong>Brian Singer</strong> is the principal and creative director of Altitude Associates, a small design studio in San Francisco collaborating with such folks as Adidas, Apple, Bent Brewing Company and Chronicle Books.</p>
<p>Brian is also known as &ldquo;Someguy,&rdquo; the creator of The 1000 Journals Project, a global art experiment seeking to foster community and creativity among strangers. The project has reached over 40 countries and every US state and was recently published as a compilation book and as a full length documentary.</p>
<p>His work has garnered recognition from Communication Arts, AIGA 365, Print, How, Graphis, Step, AR100, and is included in the permanent collection of the San Francisco Museum of Modern Art. Brian&rsquo;s projects have been covered in The New York Times, San Francisco Chronicle, Wall Street Journal, Entertainment Weekly, Better Homes and Gardens and many others. He has taught in the graduate program at the Academy of Art University, and has served on the board of directors for New Langton Arts.<br />
When he was 10 years old, he accidently killed a frog by dropping it into a coffee can filled with hot water.</p>
<p>&nbsp;</p>
<p><strong>Michael O&rsquo;Brien</strong> was born in Memphis, TN in 1950. Growing up in a river town in the Deep South left its mark, which continues to manifest itself in his candid photographs of people.</p>
<p>O&rsquo;Brien was based in New York for 14 years where he photographed people for Life, Geo, the New York Times Sunday Magazine, National Geographic, Esquire, Fortune and others. His subjects have included such celebrities as Willie Nelson and George Bush.</p>
<p>Since 1993, O&rsquo;Brien and his family have lived in Austin, TX, where he continues to do both advertising and magazine work. His many clients include Texas Monthly, Nike, Apple Computer, VISA, Wrangler Jeans, and Bank of America.</p>
<p>&nbsp;</p>
<p><strong>Jack Unruh</strong> is a former DSVC President and past recipient of the Golden Egg award, Jack is a native of Pretty Prairie, Kansas and the son of an Air Force pilot. Jack lived in a variety of places while growing up and after graduating from Washington University in St Louis he settled In Dallas, TX to begin his illustration career.</p>
<p>Much of his work parallels his great love of the outdoors. The results have been published in Entertainment Weekly, Rolling Stone, Atlantic Monthly, Time, Sports Illustrated, Readers Digest, New York Magazine, National Geographic, Sports Afield, Field and Stream, GQ, Road and Track, Texas Monthly and numerous Annual Reports..</p>
<p>Unruh has appeared regularly in Communication Arts Illustration Annual and has been in numerous shows of American Illustration, Graphis, AIGA and Print. His awards include: Gold and Silver Medals - New York Society of Illustrators, Art Director of the Year (1969) - Dallas Art Directors Club, Hamilton King Award (1998) - New York Society of Illustrators and Illustrators Hall of Fame Induction (2006) - New York Society of Illustrators</p>","2","1227206330","December Meeting: Brian Singer, Jack Unruh, & Michael O’Brien","Cityplace","meeting","252","2008-12-03T00:00:00","7pm","6pm"
